exercise_family,step_number,step_name,beginner_sets,beginner_reps,beginner_seconds,intermediate_sets,intermediate_reps,intermediate_seconds,progression_sets,progression_reps_min,progression_reps_max,progression_seconds,source_page
Push-ups,1,Wall Push-ups,1,10,,2,25,,3,50,,,1
Push-ups,2,Incline Push-ups,1,10,,2,20,,3,40,,,1
Push-ups,3,Kneeling Push-ups,1,10,,2,15,,3,30,,,1
Push-ups,4,Half Push-ups,1,8,,2,12,,2,25,,,1
Push-ups,5,Full Push-ups,1,5,,2,10,,2,20,,,1
Push-ups,6,Close Push-ups,1,5,,2,10,,2,20,,,1
Push-ups,7,Uneven Push-ups,1,5,,2,10,,2,20,,,1
Push-ups,8,Half One-Arm Push-ups,1,5,,2,10,,2,20,,,1
Push-ups,9,Lever Push-ups,1,5,,2,10,,2,20,,,1
Push-ups,10,One-Arm Push-ups,1,5,,2,10,,1,100,,,1
Squats,1,Shoulderstand Squats,1,10,,2,25,,3,50,,,1
Squats,2,Jackknife Squats,1,10,,2,20,,3,40,,,1
Squats,3,Supported Squats,1,10,,2,15,,3,30,,,1
Squats,4,Half Squats,1,8,,2,35,,2,50,,,1
Squats,5,Full Squats,1,5,,2,10,,2,30,,,1
Squats,6,Close Squats,1,5,,2,10,,2,20,,,1
Squats,7,Uneven Squats,1,5,,2,10,,2,20,,,1
Squats,8,Half One-Leg Squats,1,5,,2,10,,2,20,,,1
Squats,9,Assisted One-Leg Squats,1,5,,2,10,,2,20,,,1
Squats,10,One-Leg Squats,1,5,,2,10,,2,50,,,1
Pull-ups,1,Vertical Pulls,1,10,,2,20,,3,40,,,2
Pull-ups,2,Horizontal Pulls,1,10,,2,20,,3,30,,,2
Pull-ups,3,Jackknife Pull-ups,1,10,,2,15,,3,20,,,2
Pull-ups,4,Half Pull-ups,1,8,,2,11,,2,15,,,2
Pull-ups,5,Full Pull-ups,1,5,,2,8,,2,10,,,2
Pull-ups,6,Close Pull-ups,1,5,,2,8,,2,10,,,2
Pull-ups,7,Uneven Pull-ups,1,5,,2,7,,2,9,,,2
Pull-ups,8,Half One-Arm Pull-ups,1,4,,2,6,,2,8,,,2
Pull-ups,9,Assisted One-Arm Pull-ups,1,3,,2,5,,2,7,,,2
Pull-ups,10,One-Arm Pull-ups,1,1,,2,2,,1,6,,,2
Leg Raises,1,Knee Tucks,1,10,,2,25,,3,40,,,2
Leg Raises,2,Flat Knee Raises,1,10,,2,20,,3,35,,,2
Leg Raises,3,Flat Bent Leg Raises,1,10,,2,15,,3,30,,,2
Leg Raises,4,Flat Frog Raises,1,8,,2,15,,3,25,,,2
Leg Raises,5,Flat Straight Leg Raises,1,5,,2,10,,2,20,,,2
Leg Raises,6,Hanging Knee Raises,1,5,,2,10,,2,15,,,2
Leg Raises,7,Hanging Bent Leg Raises,1,5,,2,10,,2,15,,,2
Leg Raises,8,Hanging Frog Raises,1,5,,2,10,,2,15,,,2
Leg Raises,9,Partial Straight Leg Raises,1,5,,2,10,,2,15,,,2
Leg Raises,10,Hanging Straight Leg Raises,1,5,,2,10,,2,30,,,2
Bridges,1,Short Bridges,1,10,,2,25,,3,50,,,3
Bridges,2,Straight Bridges,1,10,,2,20,,3,40,,,3
Bridges,3,Angled Bridges,1,8,,2,15,,3,30,,,3
Bridges,4,Head Bridges,1,8,,2,15,,2,25,,,3
Bridges,5,Half Bridges,1,8,,2,10,,2,20,,,3
Bridges,6,Full Bridges,1,6,,2,6,,2,15,,,3
Bridges,7,Wall Walking Down,1,3,,2,6,,2,10,,,3
Bridges,8,Wall Walking Up,1,2,,2,4,,2,6,,,3
Bridges,9,Closing Bridges,1,2,,2,4,,2,6,,,3
Bridges,10,Stand-to-Stand Bridges,1,1,,2,3,,2,10,30,,3
Handstand Push-ups,1,Wall Headstands,,,30,,,60,,,,,120,3
Handstand Push-ups,2,Crow Stands,,,10,,,30,,,,,60,3
Handstand Push-ups,3,Wall Handstands,,,30,,,60,,,,,120,3
Handstand Push-ups,4,Half Handstand Push-ups,1,5,,2,10,,2,20,,,3
Handstand Push-ups,5,Handstand Push-ups,1,5,,2,10,,2,15,,,3
Handstand Push-ups,6,Close Handstand Push-ups,1,5,,2,8,,2,10,,,3
Handstand Push-ups,7,Uneven Handstand Push-ups,1,5,,2,6,,2,8,,,3
Handstand Push-ups,8,Half One-Arm Handstand Push-ups,1,3,,2,4,,2,6,,,3
Handstand Push-ups,9,Lever Handstand Push-ups,1,2,,2,3,,2,5,,,3
Handstand Push-ups,10,One-Arm Handstand Push-ups,1,1,,2,2,,1,5,,,3
